,index,Menu_value,Menu_price_value,Menu_description_value
0,0,3,7,32
1,1,36,2,30
2,2,10,0,23
3,3,26,1,26
4,4,37,5,35
5,5,28,11,27
6,6,1,11,14
7,7,24,11,15
8,8,13,11,13
9,9,27,11,36
10,10,39,10,4
11,11,23,10,5
12,12,20,10,1
13,13,33,5,21
14,14,32,7,20
15,15,42,17,29
16,16,34,12,3
17,17,40,12,8
18,18,19,15,6
19,19,22,15,28
20,20,41,14,7
21,21,11,10,11
22,22,8,13,38
23,23,31,10,39
24,24,30,8,40
25,25,12,11,17
26,26,35,9,18
27,27,7,16,19
28,28,0,7,37
29,29,21,18,0
30,30,6,19,41
31,31,18,18,16
32,32,4,12,12
33,33,38,6,31
34,34,17,3,34
35,35,14,4,42
36,36,16,3,2
37,37,15,7,24
38,38,2,11,10
39,39,25,9,33
40,40,29,9,25
41,41,5,7,9
42,42,9,7,22
